City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
205,norman wells,CA,69.35,65.282,-126.8329,Heritage Hotel
209,nemuro,JP,65.28,43.3236,145.575,Hotel Nemuro Kaiyoutei
212,marystown,CA,64.85,47.1666,-55.1483,Marystown Hotel & Convention Centre
213,faya,SA,64.92,18.3851,42.4509,املاك خالد الشعشوع
220,pemangkat,ID,78.82,1.1667,108.9667,Ramah Kost KITA
222,arona,ES,67.82,28.0996,-16.681,Paradise Court
224,high level,CA,70.95,58.5169,-117.136,Days Inn by Wyndham High Level
226,kupang,ID,75.78,-10.1667,123.5833,Hotel On The Rock by Prasanthi
228,paragominas,BR,79.07,-2.9667,-47.4833,INOVA
229,okhotsk,RU,65.16,59.3833,143.3,
230,rayachoti,IN,77.27,14.05,78.75,Swetha lodge
231,cururupu,BR,76.41,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
233,cobija,BO,77.52,-11.0267,-68.7692,Hotel Obelisco
238,chunoyar,RU,62.29,57.4467,97.3217,
240,charlestown,AU,67.1,-32.95,151.6667,Panorama Motor Inn Hotel
243,carballo,ES,64.09,43.213,-8.691,Pazo do Souto
245,djambala,CG,72.16,-2.5447,14.7533,Hotel Ravin D'or
248,glace bay,CA,71.33,46.1969,-59.957,Cedarwoods Bed & Breakfast
253,los llanos de aridane,ES,69.55,28.6585,-17.9182,Valle Aridane
255,zlobin,HR,67.3,45.2924,14.6541,Hotel Bitoraj Fuzine
262,galle,LK,79.63,6.0367,80.217,Amangalla
264,san cristobal,VE,70.75,7.7669,-72.225,Posada Villaven C.A.
265,ornskoldsvik,SE,65.35,63.2909,18.7153,ファーストホテル スタット
266,san jose iturbide,MX,77.59,21.0,-100.3833,Los Arcos
267,cairns,AU,73.11,-16.9167,145.7667,Mantra Trilogy Cairns
270,lagoa,PT,71.22,39.05,-27.9833,Casa Das Faias
272,ulaangom,MN,60.35,49.9811,92.0667,Achit Nuur Hotel & Restaurant
275,bourail,NC,69.85,-21.5667,165.4833,Motel Allamanda
277,raudeberg,NO,63.19,61.9875,5.1352,Nordre Silda.
282,libourne,FR,63.57,44.9167,-0.25,Hôtel Mercure Libourne Saint-Émilion
285,alyangula,AU,73.56,-13.8483,136.4192,Groote Eylandt Lodge
